선수명,생년월일,연도,이전팀,계약팀,계약기간,계약총액,계약평균액
마정길,1979-03-13,2016,넥센,넥센,2년,"62,000","31,000"
이승엽,1976-08-18,2016,삼성,삼성,2년,"360,000","180,000"
김상현,1980-11-12,2016,kt,kt,4년,"170,000","42,500"
이동현,1983-01-12,2016,LG,LG,3년,"300,000","100,000"
박정권,1981-07-21,2016,SK,SK,4년,"300,000","75,000"
채병용,1982-04-25,2016,SK,SK,3년,"105,000","35,000"
김태균,1982-05-29,2016,한화,한화,4년,"840,000","210,000"
송승준,1980-06-29,2016,롯데,롯데,4년,"400,000","100,000"
윤석민,1986-07-24,2015,볼티모어,KIA,4년,"900,000","225,000"
이재영,1979-06-13,2015,SK,SK,2년,"45,000","22,500"
나주환,1984-06-14,2015,SK,SK,2년,"55,000","27,500"
이성열,1984-07-13,2015,넥센,넥센,2년,"50,000","25,000"
차일목,1981-01-26,2015,KIA,KIA,2년,"45,000","22,500"
배영수,1981-05-04,2015,삼성,한화,3년,"215,000","71,667"
송은범,1984-03-17,2015,기아,한화,4년,"340,000","85,000"
장원준,1985-07-31,2015,롯데,두산,4년,"840,000","210,000"
김사율,1980-04-17,2015,롯데,kt,4년,"145,000","36,250"
박기혁,1981-06-04,2015,롯데,kt,4년,"114,000","28,500"
박경수,1984-03-31,2015,LG,kt,4년,"182,000","45,500"
권혁,1983-11-06,2015,삼성,한화,4년,"320,000","80,000"
김강민,1982-09-13,2015,SK,SK,4년,"560,000","140,000"
최정,1987-02-28,2015,SK,SK,4년,"900,000","225,000"
조동찬,1983-09-04,2015,삼성,삼성,4년,"280,000","70,000"
조동화,1981-03-22,2015,SK,SK,4년,"220,000","55,000"
김경언,1982-12-07,2015,한화,한화,3년,"85,000","28,333"
안지만,1983-10-01,2015,삼성,삼성,4년,"650,000","162,500"
윤성환,1981-10-08,2015,삼성,삼성,4년,"800,000","200,000"
박용택,1979-04-21,2015,LG,LG,4년,"500,000","125,000"
윤석민,1986-07-24,2014,KIA,볼티모어,3년,"575,000","191,667"
최준석,1983-02-15,2014,두산,롯데,4년,"350,000","87,500"
이용규,1985-08-26,2014,KIA,한화,4년,"670,000","167,500"
정근우,1982-10-02,2014,SK,한화,4년,"700,000","175,000"
이대수,1981-08-21,2014,한화,한화,4년,"200,000","50,000"
박정진,1976-05-27,2014,한화,한화,2년,"80,000","40,000"
한상훈,1980-06-03,2014,한화,한화,4년,"130,000","32,500"
이대형,1983-07-19,2014,LG,KIA,4년,"240,000","60,000"
손시헌,1980-10-19,2014,두산,NC,4년,"300,000","75,000"
이종욱,1980-06-18,2014,두산,NC,4년,"500,000","125,000"
강영식,1981-06-17,2014,롯데,롯데,4년,"170,000","42,500"
권용관,1976-11-19,2014,LG,LG,1년,"10,000","10,000"
이병규,1974-10-25,2014,LG,LG,3년,"255,000","85,000"
박한이,1979-01-28,2014,삼성,삼성,4년,"280,000","70,000"
장원삼,1983-06-09,2014,삼성,삼성,4년,"600,000","150,000"
강민호,1985-08-18,2014,롯데,롯데,4년,"750,000","187,500"
홍성흔,1977-02-28,2013,롯데,두산,4년,"310,000","77,500"
이현곤,1980-02-21,2013,KIA,NC,3년,"105,000","35,000"
김주찬,1981-03-25,2013,롯데,KIA,4년,"500,000","125,000"
이호준,1976-02-08,2013,SK,NC,3년,"200,000","66,667"
정현욱,1978-12-02,2013,삼성,LG,4년,"286,000","71,500"
마일영,1981-05-28,2013,한화,한화,3년,"80,000","26,667"
유동훈,1977-02-12,2013,KIA,KIA,2년,"75,000","37,500"
김원섭,1978-12-18,2013,KIA,KIA,3년,"140,000","46,667"
이정훈,1977-10-09,2013,넥센,넥센,2년,"50,000","25,000"
이진영,1980-06-15,2013,LG,LG,4년,"340,000","85,000"
정성훈,1980-06-27,2013,LG,LG,4년,"340,000","85,000"
김동주,1976-02-03,2012,두산,두산,3년,"320,000","106,667"
정대현,1978-11-10,2012,SK,롯데,4년,"360,000","90,000"
이대호,1982-06-21,2012,일본,오릭스,2년,"820,000","410,000"
이승호,1981-09-09,2012,SK,롯데,4년,"240,000","60,000"
조인성,1975-05-25,2012,LG,SK,3년,"190,000","63,333"
임경완,1975-12-28,2012,롯데,SK,3년,"110,000","36,667"
이택근,1980-07-10,2012,LG,넥센,4년,"500,000","125,000"
송신영,1977-03-01,2012,LG,한화,3년,"130,000","43,333"
임재철,1976-04-08,2012,두산,두산,2년,"50,000","25,000"
이승호,1976-08-23,2012,SK,SK,2년,"20,000","10,000"
조성환,1976-12-23,2012,롯데,롯데,2년,"75,000","37,500"
신명철,1978-08-06,2012,삼성,삼성,2년,"45,000","22,500"
강봉규,1978-01-12,2012,삼성,삼성,2년,"45,000","22,500"
이상열,1977-04-20,2012,LG,LG,2년,"60,000","30,000"
진갑용,1974-05-08,2012,삼성,삼성,2년,"120,000","60,000"
신경현,1975-11-28,2012,한화,한화,2년,"70,000","35,000"
정재훈,1980-01-01,2012,두산,두산,4년,"280,000","70,000"
이범호,1981-11-25,2011,한화/일본,KIA,1년,"120,000","120,000"
배영수,1981-05-04,2011,삼성,삼성,2년,"170,000","85,000"
이혜천,1979-03-12,2011,일본,두산,1년,"110,000","110,000"
박용택,1979-04-21,2011,LG,LG,4년,"340,000","85,000"
이도형,1975-05-24,2011,한화,-,,,
최영필,1974-05-13,2011,한화,-,,,
장성호,1977-10-18,2010,KIA,KIA,1년,"25,000","25,000"
박한이,1979-01-28,2010,삼성,삼성,1년,"65,000","65,000"
최기문,1973-06-10,2010,롯데,롯데,1년,"15,000","15,000"
이범호,1981-11-25,2010,한화,일본,,,
김태균,1982-05-29,2010,한화,일본,,,
박재홍,1973-09-07,2010,SK,SK,1년,"80,000","80,000"
강동우,1974-04-20,2010,한화,한화,1년,"30,000","30,000"
김상훈,1977-10-27,2010,KIA,KIA,1년,"102,500","102,500"
이혜천,1979-03-12,2009,두산,일본,,,
홍성흔,1977-02-28,2009,두산,롯데,1년,"27,900","27,900"
정성훈,1980-06-27,2009,히어로즈,LG,1년,"35,000","35,000"
이진영,1980-06-15,2009,SK,LG,1년,"36,000","36,000"
최원호,1973-03-13,2009,LG,LG,1년,"20,000","20,000"
최동수,1971-09-11,2009,LG,LG,1년,"25,000","25,000"
이영우,1973-11-27,2009,한화,한화,1년,"21,000","21,000"
김재현,1975-10-02,2009,SK,SK,1년,"70,000","70,000"
박진만,1976-11-30,2009,삼성,삼성,1년,"120,000","120,000"
손민한,1975-01-02,2009,롯데,롯데,1년,"150,000","150,000"
이종열,1973-01-28,2009,LG,LG,1년,"17,000","17,000"
김동주,1976-02-03,2008,두산,두산,1년,"90,000","90,000"
이재주,1973-12-25,2008,KIA,KIA,1년,"8,000","8,000"
조웅천,1971-03-17,2008,SK,SK,2년,"80,000","40,000"
이호준,1976-02-08,2008,SK,SK,4년,"340,000","85,000"
조인성,1975-05-25,2008,LG,LG,4년,"340,000","85,000"
류택현,1971-10-23,2008,LG,LG,3년,"64,000","21,333"
이병규,1974-10-25,2007,LG,일본,,,
김수경,1979-08-20,2007,현대,현대,3년,"50,000","16,667"
박명환,1977-06-07,2007,두산,LG,4년,"400,000","100,000"
박경완,1972-07-11,2007,SK,SK,2년,"100,000","50,000"
전병호,1973-03-23,2007,삼성,삼성,2년,"90,000","45,000"
김종국,1973-09-14,2007,KIA,KIA,2년,"55,000","27,500"
권준헌,1971-12-01,2007,한화,한화,2년,"50,000","25,000"
진갑용,1974-05-08,2007,삼성,삼성,3년,"260,000","86,667"
김재걸,1972-09-07,2007,삼성,삼성,2년,"56,000","28,000"
김원형,1972-07-05,2007,SK,SK,2년,"75,000","37,500"
차명주,1973-09-22,2007,한화,-,,,
노장진,1974-08-10,2007,롯데,-,,,
전준호,1969-02-15,2006,현대,현대,1년,"28,000","28,000"
송지만,1973-03-02,2006,현대,현대,3년,"180,000","60,000"
김창희,1973-07-03,2006,두산,두산,1년,"10,000","10,000"
홍원기,1973-06-05,2006,두산,두산,1년,"8,000","8,000"
전상렬,1972-06-12,2006,두산,두산,2년,"40,000","20,000"
박재홍,1973-09-07,2006,SK,SK,2년,"150,000","75,000"
위재영,1972-05-21,2006,SK,SK,3년,"80,000","26,667"
김민재,1973-01-03,2006,SK,한화,4년,"140,000","35,000"
장성호,1977-10-18,2006,KIA,KIA,4년,"420,000","105,000"
송진우,1966-02-16,2006,한화,한화,2년,"140,000","70,000"
양준혁,1969-05-26,2006,삼성,삼성,2년,"150,000","75,000"
정경배,1974-02-20,2006,SK,SK,3년,"160,000","53,333"
김대익,1973-06-03,2006,삼성,삼성,2년,"32,000","16,000"
이종범,1970-08-15,2006,KIA,KIA,2년,"180,000","90,000"
김태균,1971-08-19,2005,롯데,롯데,1년,"8,600","8,600"
임창용,1976-06-04,2005,삼성,삼성,2년,"180,000","90,000"
조원우,1971-04-08,2005,SK,SK,2년,"45,000","22,500"
김동수,1968-10-27,2005,현대,현대,2년,"60,000","30,000"
박진만,1976-11-30,2005,현대,삼성,4년,"390,000","97,500"
심정수,1975-05-05,2005,현대,삼성,4년,"600,000","150,000"
김재현,1975-10-02,2005,LG,SK,4년,"207,000","51,750"
심재학,1972-10-18,2005,KIA,KIA,3년,"180,000","60,000"
오봉옥,1968-07-08,2005,한화,한화,2년,"30,000","15,000"
김한수,1971-10-30,2005,삼성,삼성,4년,"280,000","70,000"
신동주,1972-12-14,2005,삼성,삼성,3년,"49,000","16,333"
유지현,1971-05-25,2004,LG,LG,1년,"43,000","43,000"
조웅천,1971-03-17,2004,SK,SK,3년,"175,000","58,333"
장원진,1969-06-15,2004,두산,두산,2년,"45,000","22,500"
이숭용,1971-03-10,2004,현대,현대,3년,"175,000","58,333"
조규제,1967-10-07,2004,현대,KIA,2년,"45,000","22,500"
박종호,1973-07-27,2004,현대,삼성,4년,"220,000","55,000"
이상목,1971-04-25,2004,한화,롯데,4년,"220,000","55,000"
정수근,1977-01-20,2004,두산,롯데,6년,"406,000","67,667"
진필중,1972-10-13,2004,KIA,LG,4년,"300,000","75,000"
마해영,1970-08-14,2004,삼성,KIA,4년,"280,000","70,000"
김종훈,1972-01-29,2004,삼성,삼성,3년,"52,000","17,333"
가득염,1969-10-01,2004,롯데,롯데,3년,"56,000","18,667"
강상수,1971-06-22,2003,롯데,롯데,3년,"40,000","13,333"
박정태,1969-01-27,2003,롯데,롯데,2년,"60,000","30,000"
박경완,1972-07-11,2003,현대,SK,3년,"190,000","63,333"
안경현,1970-02-13,2003,두산,두산,4년,"150,000","37,500"
양준혁,1969-05-26,2002,LG,삼성,4년,"272,000","68,000"
김민재,1973-01-03,2002,롯데,SK,4년,"100,000","25,000"
전준호,1969-02-15,2002,현대,현대,3년,"120,000","40,000"
김원형,1972-07-05,2002,SK,SK,4년,"140,000","35,000"
