ID,선수명,데뷔년도,생년월일,팀명,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),포지션(수비),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),연봉,WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피
98315,채종국,1998.0,1975-10-24,현대,2006,0.212,97,257,222,25,47,9,0,2,62,19,14,2,12,1,7,28,7,0.279,0.272,0.551,13,0.254,0.5,11,81,68,1.19,0,0.43,3.56,0.068,16.0,0.192,97,3,1,2,33.3,0,0,2루수,96.0,71.0,655.3333333333334,7.0,0.0,172.0,235.0,58.0,0.0,0.0,0.0,0.983,0.0,"8,600",-0.279,0,0.00708215297,0.232209615,0.0,1437,0.0
98315,채종국,1998.0,1975-10-24,SK,2007,0.163,23,47,43,3,7,1,0,0,8,2,1,0,3,0,0,8,0,0.186,0.217,0.403,1,0.091,0.5,1,16,12,1.33,0,0.38,3.98,0.023,1.5,0.144,23,0,0,0,0.0,0,0,2루수,21.0,11.0,117.0,3.0,0.0,33.0,36.0,7.0,0.0,0.0,0.0,0.958,0.0,"8,600",-0.273,0,0.0150753769,0.247284992,0.0,1484,0.0
98315,채종국,1998.0,1975-10-24,LG,2008,0.195,55,43,41,6,8,0,0,0,8,1,0,0,2,0,0,3,2,0.195,0.233,0.428,0,0.182,0.5,0,20,10,2.00,0,0.67,3.28,0.000,1.1,0.154,55,1,1,0,100.0,0,0,2루수,52.0,5.0,136.33333333333331,2.0,0.0,19.0,41.0,2.0,0.0,0.0,0.0,0.9607823960880196,0.0,"6,300",-0.187,0,0.00564440263,0.252929395,0.0,1527,0.4548525435109224
61463,김정혁,2011.0,1985-08-03,삼성,2011,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.0,0.0,0,0.0,0.0,0,0,1,0.00,0,0.00,2.5,0.000,-0.2,0.0,3,0,0,0,0.0,0,0,수비기록없음,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,400",-0.044,0,0.00354191263,0.00354191263,0.0,2,0.0
61463,김정혁,2011.0,1985-08-03,삼성,2014,0.000,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0.000,0.0,0.0,0,0.0,0.0,0,2,2,1.00,0,0.00,3.8,0.000,-0.8,0.0,2,0,0,0,0.0,0,0,3루수,2.0,1.0,12.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,,-0.138,0,0.0,0.00354191263,0.0,7,0.0
61463,김정혁,2011.0,1985-08-03,삼성,2015,0.167,17,20,18,3,3,0,0,0,3,1,1,0,1,0,0,3,0,0.167,0.211,0.378,0,0.333,0.0,0,5,7,0.71,0,0.33,3.85,0.000,0.5,0.137,17,0,0,0,0.0,0,0,3루수,16.0,5.0,49.66666666666667,0.0,0.0,16.0,10.0,3.0,0.0,0.0,0.0,1.0,0.0,"3,300",0.103,0,0.0035131744,0.00705508703,0.0,27,0.992476003943082
61463,김정혁,2011.0,1985-08-03,삼성,2016,0.236,46,118,106,13,25,1,1,2,34,11,1,1,9,0,1,25,3,0.321,0.299,0.62,6,0.154,0.0,4,33,24,1.38,0,0.36,3.81,0.085,10.2,0.215,46,2,1,1,50.0,1,0,3루수,50.0,28.0,260.0,2.0,0.0,59.0,41.0,8.0,0.0,0.0,0.0,0.9911384615384616,0.0,"3,300",-0.286,0,0.0145190563,0.0215741433,0.0,145,0.6900703653284017
61463,김정혁,2011.0,1985-08-03,삼성,2017,0.274,31,91,84,15,23,5,0,0,28,13,0,1,4,0,2,18,1,0.333,0.319,0.652,5,0.526,0.0,5,23,21,1.10,2,0.22,3.45,0.060,9.2,0.227,31,4,3,1,75.0,0,0,3루수,29.0,22.0,199.3333333333333,1.0,0.0,77.0,26.0,10.0,0.0,0.0,0.0,0.9801170568561872,0.0,4300,0.137,0,0.0147148988,0.0362890421,0.0,236,0.8967550157663146
77848,박윤,2007.0,1988-03-07,SK,2011,0.200,10,17,15,3,3,0,0,0,3,0,0,0,2,0,0,4,0,0.200,0.294,0.494,0,0.0,0.286,0,1,7,0.14,0,0.50,3.76,0.000,1.1,0.182,10,0,0,0,0.0,0,0,1루수,4.0,1.0,14.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,-0.03,0,0.00944510035,0.00944510035,0.0,17,0.0
77848,박윤,2007.0,1988-03-07,SK,2012,0.176,7,20,17,0,3,1,0,0,4,2,2,1,0,0,0,3,0,0.235,0.167,0.402,1,0.333,0.0,1,6,6,1.00,0,0.00,3.15,0.059,0.9,0.134,7,0,0,0,0.0,0,0,1루수,7.0,7.0,52.0,0.0,0.0,46.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,"2,800",-0.214,0,0.00316856781,0.0126136682,0.0,37,0.0
77848,박윤,2007.0,1988-03-07,SK,2014,0.267,6,15,15,0,4,0,0,0,4,2,0,0,0,0,0,5,0,0.267,0.267,0.534,1,0.5,0.0,0,2,4,0.50,0,0.00,3.93,0.000,1.0,0.187,6,0,0,0,0.0,1,0,1루수,5.0,4.0,37.0,0.0,0.0,34.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,"3,500",-0.057,0,0.00788603409,0.0204997023,0.0,52,0.0
77848,박윤,2007.0,1988-03-07,SK,2015,0.111,17,29,27,1,3,0,0,0,3,0,1,0,0,0,1,13,1,0.111,0.143,0.254,1,0.0,0.0,0,8,3,2.67,0,0.00,3.66,0.000,-0.8,0.092,17,0,0,0,0.0,0,0,1루수,15.0,6.0,70.66666666666667,1.0,0.0,68.0,8.0,6.0,0.0,0.0,0.0,0.9730330188679246,0.0,"3,500",-0.493,0,0.00928481807,0.0297845203,0.0,81,0.1080231952636283
77848,박윤,2007.0,1988-03-07,우리/히어로즈/넥센/키움,2016,0.091,7,12,11,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0.091,0.167,0.258,0,0.333,0.0,0,3,5,0.60,0,0.50,3.67,0.000,-0.1,0.098,7,0,0,0,0.0,0,0,1루수,6.0,2.0,26.0,0.0,0.0,24.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,"4,000",-0.34,0,0.00362976407,0.0334142844,0.0,93,0.0
77848,박윤,2007.0,1988-03-07,우리/히어로즈/넥센/키움,2017,0.313,9,18,16,2,5,1,0,0,6,0,0,0,2,0,0,4,0,0.375,0.389,0.764,2,0.0,0.0,1,4,3,1.33,0,0.50,4.22,0.063,2.4,0.269,9,0,0,0,0.0,0,0,1루수,7.0,4.0,37.0,0.0,0.0,35.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3600,0.098,0,0.00429184549,0.0377061299,0.0,111,0.0
67610,김석환,2017.0,1999-02-28,KIA,2018,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.0,0.0,0,0.0,0.0,0,0,1,0.00,0,0.00,3.5,0.000,-0.2,0.0,1,0,0,0,0.0,0,0,1루수,1.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,"2,800",-0.055,0,0.00797448166,0.00797448166,0.0,2,0.0
73757,최민준,2003.0,1984-04-05,한화,2004,0.100,14,10,10,5,1,0,0,0,1,0,0,0,0,0,0,5,0,0.100,0.1,0.2,0,0.0,0.0,0,3,1,3.00,0,0.00,4.3,0.000,0.0,0.07,14,2,2,0,100.0,0,0,좌익수,10.0,2.0,29.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9310344827586208,0.0,"1,800",-0.105,0,0.0,0.0,0.0,10,0.0
75808,정근우,2005.0,1982-10-02,SK,2005,0.193,52,106,88,11,17,2,0,0,19,5,8,2,4,0,4,13,3,0.216,0.255,0.471,4,0.2,0.667,2,31,29,1.07,0,0.31,3.55,0.023,5.2,0.169,52,6,4,2,66.7,0,0,3루수,47.0,27.0,239.0,7.0,0.0,16.0,38.0,6.0,0.0,0.0,0.0,0.8810251046025105,0.0,"2,000",-0.501,0,0.0220264317,0.0220264317,0.0,106,0.545030923155811
75808,정근우,2005.0,1982-10-02,SK,2006,0.284,120,487,430,69,122,19,4,8,173,42,13,4,36,1,4,60,3,0.402,0.342,0.744,35,0.289,0.25,31,123,129,0.95,0,0.60,3.45,0.119,66.0,0.254,120,55,45,10,81.8,0,0,2루수,129.0,105.0,929.0,8.0,0.0,254.0,227.0,61.0,0.0,0.0,0.0,0.9850947255113024,0.0,"2,400",4.211,0,0.131728045,0.153754477,1.0,593,0.8820798038217701
75808,정근우,2005.0,1982-10-02,SK,2007,0.323,111,391,341,62,110,24,2,9,165,44,9,0,35,0,6,44,6,0.484,0.395,0.879,29,0.329,0.444,35,99,88,1.13,0,0.80,3.53,0.161,61.9,0.299,111,34,24,10,70.6,0,0,유격수,113.0,80.0,646.3333333333333,20.0,0.0,168.0,244.0,69.0,0.0,0.0,0.0,0.9499969056214546,0.0,"6,000",4.88,0,0.499162479,0.652916956,0.0,984,1.017131381601026
75808,정근우,2005.0,1982-10-02,SK,2008,0.314,124,550,491,73,154,20,4,8,206,58,6,4,46,1,3,53,9,0.420,0.373,0.793,49,0.3,0.5,32,158,130,1.22,0,0.87,3.46,0.106,76.1,0.273,124,60,40,20,66.7,0,0,2루수,147.0,118.0,1051.0,15.0,0.0,274.0,386.0,101.0,0.0,0.0,0.0,0.9780941960038058,0.0,"11,000",4.567,0,0.388523048,1.041440004,0.0,1534,0.8413046729680361
75808,정근우,2005.0,1982-10-02,SK,2009,0.350,127,565,480,98,168,29,4,9,232,59,2,5,67,1,11,55,8,0.483,0.437,0.92,51,0.328,0.25,42,155,107,1.45,0,1.22,3.49,0.133,103.3,0.317,127,66,53,13,80.3,0,0,2루수,130.0,121.0,1036.3333333333333,16.0,0.0,263.0,341.0,93.0,0.0,0.0,0.0,0.97331103248633,0.0,"17,000",6.862,0,0.35828877,1.399728774,1.0,2099,0.0895277083414745
75808,정근우,2005.0,1982-10-02,SK,2010,0.305,128,563,485,75,148,25,2,2,183,48,22,1,47,5,8,51,9,0.377,0.375,0.752,45,0.359,0.0,29,180,107,1.68,0,0.92,3.47,0.072,69.7,0.263,128,46,33,13,71.7,0,0,2루수,128.0,122.0,1069.3333333333333,13.0,0.0,275.0,367.0,90.0,0.0,0.0,0.0,0.979083541147132,0.0,"24,000",3.048,0,0.308892356,1.70862113,0.0,2662,0.0107615212169287
75808,정근우,2005.0,1982-10-02,SK,2011,0.307,90,385,326,60,100,19,0,6,137,40,15,2,38,2,4,37,10,0.420,0.384,0.804,29,0.294,0.25,25,106,85,1.25,0,1.03,3.48,0.113,51.6,0.278,90,29,20,9,69.0,0,0,2루수,87.0,83.0,738.6666666666666,4.0,0.0,196.0,255.0,62.0,0.0,0.0,0.0,0.991,0.0,"31,000",2.965,0,0.189492326,1.898113456,1.0,3047,0.0
75808,정근우,2005.0,1982-10-02,SK,2012,0.266,127,534,467,53,124,13,4,8,169,46,12,2,47,3,6,33,10,0.362,0.339,0.701,31,0.295,0.4,25,184,128,1.44,0,1.42,3.48,0.096,58.8,0.243,127,34,22,12,64.7,0,0,2루수,123.0,119.0,1035.6666666666667,9.0,0.0,285.0,336.0,87.0,0.0,0.0,0.0,0.986,0.0,"31,000",2.926,0,0.299746515,2.197859971,1.0,3581,0.0
75808,정근우,2005.0,1982-10-02,SK,2013,0.280,112,476,407,64,114,19,3,9,166,35,11,1,50,6,7,48,6,0.408,0.368,0.776,30,0.321,0.0,31,134,112,1.20,0,1.04,3.4,0.128,63.5,0.268,112,39,28,11,71.8,0,0,2루수,106.0,105.0,878.6666666666666,6.0,0.0,253.0,284.0,81.0,0.0,0.0,0.0,0.989,0.0,"55,000",3.203,0,0.333758775,2.531618746,1.0,4057,0.0
75808,정근우,2005.0,1982-10-02,한화,2014,0.295,125,549,464,91,137,28,5,6,193,44,7,3,66,0,9,56,11,0.416,0.391,0.807,44,0.248,0.333,39,160,114,1.40,1,1.18,3.77,0.121,80.7,0.28,125,35,32,3,91.4,5,0,2루수,123.0,119.0,1019.6666666666666,12.0,0.0,263.0,359.0,91.0,0.0,0.0,0.0,0.981,0.0,"175,000",3.605,1,0.156957517,2.688576263,0.0,4606,0.0
75808,정근우,2005.0,1982-10-02,한화,2015,0.316,126,552,468,99,148,30,2,12,218,66,13,2,61,1,8,66,14,0.466,0.403,0.869,48,0.307,0.0,44,158,98,1.61,13,0.92,3.59,0.150,84.9,0.298,126,27,21,6,77.8,7,3,2루수,134.0,123.0,1043.0,10.0,0.0,273.0,368.0,85.0,0.0,0.0,0.0,0.9844244167465644,0.0,"175,000",4.94,0,0.176662484,2.865238747,0.0,5158,0.1734553638024619
75808,정근우,2005.0,1982-10-02,한화,2016,0.310,138,650,575,121,178,31,2,18,267,88,1,5,60,2,9,58,14,0.464,0.381,0.845,54,0.388,0.0,51,180,164,1.10,7,1.03,3.59,0.155,99.7,0.287,138,28,22,6,78.6,8,2,2루수,143.0,137.0,1181.6666666666667,16.0,0.0,341.0,406.0,105.0,0.0,0.0,0.0,0.9766566995768688,0.0,"175,000",4.317,0,0.327586207,3.192824954,0.0,5808,0.0762112504675995
75808,정근우,2005.0,1982-10-02,한화,2017,0.330,105,442,391,73,129,22,0,11,184,46,5,3,32,3,10,48,12,0.471,0.392,0.863,41,0.341,0.0,33,118,99,1.19,6,0.67,3.58,0.141,65.8,0.294,105,12,6,6,50.0,3,2,2루수,104.0,98.0,803.0,11.0,0.0,231.0,292.0,78.0,0.0,0.0,0.0,0.9753424657534244,0.0,"175,000",2.884,0,0.151440834,3.344265788,0.0,6250,0.0355079342770365
75808,정근우,2005.0,1982-10-02,한화,2018,0.304,102,425,375,63,114,24,1,11,173,57,1,3,39,1,7,43,12,0.461,0.377,0.838,30,0.326,0.0,36,122,99,1.23,3,0.91,3.59,0.157,61.1,0.285,102,11,6,5,54.5,8,0,2루수,74.0,72.0,575.0,11.0,0.0,310.0,118.0,59.0,0.0,0.0,0.0,0.9660017391304347,0.0,"110,000",1.273,1,0.103668262,3.44793405,0.0,6675,1.1054045382769728
75808,정근우,2005.0,1982-10-02,한화,2019,0.278,88,305,277,37,77,10,1,3,98,30,3,1,20,1,4,43,11,0.354,0.334,0.688,17,0.361,0.417,14,91,67,1.36,7,0.47,3.61,0.076,30.0,0.239,88,13,8,5,61.5,5,0,중견수,82.0,70.0,559.0,6.0,0.0,280.0,13.0,22.0,0.0,0.0,0.0,0.9791091234347048,0.0,"110,000",0.543,0,0.190008921,3.637942971,0.0,6980,0.9500370136928584
75808,정근우,2005.0,1982-10-02,LG,2020,0.240,72,177,154,23,37,4,0,1,44,14,3,1,17,1,2,23,4,0.286,0.322,0.608,6,0.209,0.231,5,48,47,1.02,3,0.74,3.49,0.045,15.6,0.216,72,9,7,2,77.8,2,0,2루수,46.0,31.0,253.0,9.0,0.0,59.0,81.0,24.0,0.0,0.0,0.0,0.9325691699604745,0.0,"35,000",-0.956,0,0.304273504,3.942216475,0.0,7157,0.066561036980303
92204,조경택,1992.0,1970-11-25,한화,2002,0.204,107,177,157,15,32,6,0,4,50,16,4,0,13,0,3,41,3,0.318,0.277,0.595,5,0.179,0.0,10,49,35,1.40,0,0.32,3.96,0.115,13.5,0.204,107,3,1,2,33.3,0,0,포수,106.0,39.0,460.3333333333333,2.0,3.0,417.0,33.0,6.0,4.0,38.0,19.0,0.996,33.3,"5,000",0.25,0,0.0,0.0,0.0,177,0.0
92204,조경택,1992.0,1970-11-25,한화,2003,0.186,48,69,59,4,11,1,0,0,12,2,1,1,8,0,0,9,3,0.203,0.279,0.482,2,0.143,0.0,1,21,19,1.11,0,0.89,3.94,0.017,3.3,0.176,48,0,0,0,0.0,0,0,포수,46.0,21.0,199.3333333333333,2.0,1.0,147.0,11.0,1.0,3.0,27.0,9.0,0.988,25.000000000000004,"4,500",-0.117,0,0.0,0.0,0.0,246,0.0
77869,김기현,2007.0,1987-05-09,SK,2009,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.0,0.0,0,0.0,0.0,0,0,0,-,0,0.00,4.0,0.000,-0.1,0.0,1,0,0,0,0.0,0,0,좌익수,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,000",0.004,0,0.00213903743,0.00213903743,0.0,1,0.0
77869,김기현,2007.0,1987-05-09,SK,2015,0.429,9,9,7,0,3,0,0,0,3,0,0,0,2,0,0,3,0,0.429,0.556,0.985,1,0.5,0.5,0,0,1,0.00,0,0.67,4.22,0.000,1.8,0.357,9,0,0,0,0.0,0,0,좌익수,5.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,"3,000",0.1,0,0.0180677541,0.0202067915,0.0,10,0.0
77869,김기현,2007.0,1987-05-09,SK,2016,0.188,14,17,16,3,3,1,0,0,4,0,0,0,1,0,0,6,0,0.250,0.235,0.485,0,0.0,0.429,1,4,3,1.33,0,0.17,4.06,0.063,0.8,0.168,14,0,0,0,0.0,0,0,1루수,8.0,1.0,21.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,3000,-0.216,0,0.00998185118,0.0301886427,0.0,27,0.9182958340544896
92207,안경현,1992.0,1970-02-13,두산,2002,0.288,130,548,486,50,140,24,4,8,196,58,7,6,44,0,5,65,13,0.403,0.349,0.752,40,0.244,0.0,36,152,135,1.13,0,0.68,3.59,0.115,67.3,0.258,130,9,5,4,55.6,0,0,2루수,167.0,130.0,1151.0,6.0,0.0,249.0,358.0,95.0,0.0,0.0,0.0,0.98295684911671,0.0,"13,500",3.135,0,0.0283018868,0.0283018868,0.0,548,0.656373080627905
92207,안경현,1992.0,1970-02-13,두산,2003,0.333,128,539,475,65,158,28,3,10,222,72,6,5,48,2,5,43,21,0.467,0.396,0.863,45,0.328,0.0,41,113,166,0.68,0,1.12,3.45,0.135,79.3,0.295,128,2,1,1,50.0,0,0,2루수,130.0,128.0,1022.6666666666666,5.0,0.0,293.0,313.0,89.0,0.0,0.0,0.0,0.992039113428944,0.0,"37,500",4.98,1,0.0120481928,0.0403500796,1.0,1087,0.0445910545995446
92207,안경현,1992.0,1970-02-13,두산,2004,0.280,125,525,447,57,125,20,1,10,177,51,9,2,54,2,13,44,15,0.396,0.372,0.768,33,0.248,0.0,31,121,159,0.76,0,1.23,3.54,0.116,66.1,0.266,125,11,8,3,72.7,0,0,2루수,127.0,124.0,1054.6666666666667,8.0,0.0,261.0,350.0,99.0,0.0,0.0,0.0,0.9873204804045512,0.0,"37,500",3.419,0,0.0364963504,0.07684643,0.0,1612,0.1669025394522287
92207,안경현,1992.0,1970-02-13,두산,2005,0.293,105,415,355,54,104,19,0,4,135,62,4,3,44,1,9,39,10,0.380,0.382,0.762,25,0.346,0.0,23,98,117,0.84,0,1.13,3.81,0.087,52.1,0.267,105,3,1,2,33.3,0,0,2루수,108.0,101.0,794.3333333333334,3.0,0.0,216.0,259.0,75.0,0.0,0.0,0.0,0.9931351237935376,0.0,"37,500",2.797,0,0.136563877,0.213410307,1.0,2027,0.1351716410923683
92207,안경현,1992.0,1970-02-13,두산,2006,0.284,125,499,423,45,120,21,0,15,186,70,5,5,50,2,16,45,19,0.440,0.377,0.817,29,0.337,0.0,36,116,147,0.79,0,1.11,3.54,0.156,68.6,0.28,125,4,3,1,75.0,0,0,1루수,144.0,119.0,963.6666666666669,9.0,0.0,635.0,139.0,66.0,0.0,0.0,0.0,0.9784330681425112,0.0,"37,500",3.539,0,0.052407932,0.265818239,0.0,2526,1.3094477658652233
92207,안경현,1992.0,1970-02-13,두산,2007,0.274,109,400,351,26,96,17,4,2,127,49,4,6,33,2,6,27,13,0.362,0.341,0.703,23,0.278,0.2,23,103,131,0.79,0,1.22,3.38,0.088,43.4,0.244,109,1,1,0,100.0,0,0,1루수,103.0,98.0,793.3333333333334,2.0,0.0,802.0,61.0,71.0,0.0,0.0,0.0,0.998,0.0,"30,000",0.963,0,0.122278057,0.388096296,0.0,2926,0.0
92207,안경현,1992.0,1970-02-13,두산,2008,0.257,51,134,113,9,29,5,0,1,37,12,1,2,14,1,4,16,3,0.327,0.353,0.68,6,0.159,0.267,6,30,40,0.75,0,0.88,3.58,0.071,14.4,0.241,51,2,1,1,50.0,0,0,1루수,38.0,29.0,234.0,1.0,0.0,224.0,21.0,21.0,0.0,0.0,0.0,0.996,0.0,"30,000",0.197,0,0.0809031044,0.4689994,0.0,3060,0.0
92207,안경현,1992.0,1970-02-13,SK,2009,0.207,42,67,58,6,12,2,0,1,17,5,7,0,1,0,1,9,2,0.293,0.233,0.526,2,0.267,0.25,3,21,16,1.31,0,0.11,3.16,0.086,3.4,0.178,42,0,0,0,0.0,0,0,1루수,40.0,10.0,143.66666666666669,0.0,0.0,117.0,12.0,14.0,0.0,0.0,0.0,1.0,0.0,"8,000",-0.579,0,0.0406417112,0.509641112,0.0,3127,0.8723624523466357
92207,안경현,1992.0,1970-02-13,SK,2010,0.154,8,15,13,2,2,0,0,1,5,2,1,0,1,1,0,2,0,0.385,0.214,0.599,1,0.5,0.0,1,3,6,0.50,0,0.50,4.13,0.231,1.2,0.193,8,0,0,0,0.0,0,0,1루수,8.0,4.0,36.0,0.0,0.0,34.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,"7,000",-0.119,0,0.0366614665,0.546302578,0.0,3142,0.4138168503036337
65586,전병우,2015.0,1992-10-24,롯데,2018,0.364,27,77,66,18,24,7,0,3,40,13,0,1,9,0,1,24,1,0.606,0.442,1.048,6,0.692,0.0,10,9,10,0.90,1,0.38,4.17,0.242,16.3,0.35,27,3,3,0,100.0,0,1,3루수,31.0,15.0,158.0,1.0,0.0,26.0,32.0,6.0,0.0,0.0,0.0,0.9919662447257382,0.0,"2,700",1.117,0,0.0249867092,0.0249867092,0.0,77,1.3395553054851947
