ID,선수명,생년월일,팀명,연도,연봉,비고,,,,
62966,최금강,1989-04-26,NC,2013,2400,2013 신고선수 입단,,,,
62966,최금강,1989-04-26,NC,2018,12500,,,,,
63027,안성무,1990-12-14,삼성,2018,3500,,,,,
63103,류원석,1989-11-18,LG,2019,2700,,,,,
63111,류제국,1983-05-30,LG,2019,10000,,,,,
63137,이윤학,1994-06-18,KT,2015,2700,,,,,
63492,이재익,1994-03-18,삼성,2020,2800,,,,,
63543,구승민,1990-06-12,롯데,2014,?,,,,,
63619,손동욱,1989-08-06,우리/히어로즈/넥센/키움,2017,2800,,,,,
63749,이충호,1994-09-20,한화,2017,2700,,,,,
63749,이충호,1994-09-20,한화,2019,2700,,,,,
63935,이성민,1990-03-30,롯데,2016,9500,,,,,
63961,윤호솔,1994-07-15,NC,2014,2400,윤형배(개명 전 이름),,,,
63961,윤호솔,1994-07-15,한화,2019,2900,윤형배(개명 전 이름),,,,
64001,고영표,1991-09-16,KT,2018,11500,,,,,
64021,박세웅,1995-11-30,롯데,2015,3600,,,,,
64041,안현준,1995-03-23,KT,2015,2700,안상빈(개명 전 이름),,,,
64041,안현준,1995-03-23,KT,2016,3700,안상빈(개명 전 이름),,,,
64051,이영준,1991-10-10,우리/히어로즈/넥센/키움,2017,2700,2017 신고선수 입단,,,,
64155,임지섭,1995-09-06,LG,2019,?,,,,,
64255,한주성,1995-02-26,두산,2018,?,,,,,
64267,전용훈,1995-03-20,두산,2017,2700,,,,,
64354,구자형,1990-11-30,우리/히어로즈/넥센/키움,2015,2700,,,,,
64580,김재열,1996-01-02,KIA,2020,2700,,,,,
64594,심규범,1991-09-04,NC,2018,3000,,,,,
64615,차명진,1995-03-03,KIA,2019,2800,,,,,
64764,박한길,1994-06-03,한화,2015,?,,,,,
64769,정광운,1991-04-21,한화,2015,2700,,,,,
64896,서동민,1994-03-07,SK,2020,2700,,,,,
64960,김학성,1991-06-15,NC,2016,2700,,,,,
65042,홍성무,1993-01-25,NC,2019,3000,,,,,
65056,엄상백,1996-10-04,KT,2019,8000,,,,,
65067,조무근,1991-09-26,롯데,2019,3500,,,,,
65117,이상규,1996-10-20,LG,2019,2900,,,,,
65206,박성민,1992-11-14,두산,2016,?,,,,,
65392,김정인,1996-06-03,우리/히어로즈/넥센/키움,2018,3200,,,,,
65392,김정인,1996-06-03,우리/히어로즈/넥센/키움,2020,3200,,,,,
65398,임규빈,1991-09-12,우리/히어로즈/넥센/키움,2019,2700,,,,,
65398,임규빈,1991-09-12,우리/히어로즈/넥센/키움,2020,2700,,,,,
65411,김주온,1996-12-08,SK,2020,2700,,,,,
65496,홍정우,1996-03-16,삼성,2019,3000,,,,,
65616,이민우,1993-02-09,KIA,2017,2700,,,,,
65802,봉민호,1996-06-26,SK,2018,기록없음,시즌 중 군입대,,,,
65908,류재인,1996-05-06,NC,2017,2700,,,,,
65908,류재인,1996-05-06,NC,2018,2700,,,,,
65937,이호중,1992-10-03,NC,2020,2700,,,,,
65949,류진욱,1996-10-10,NC,2020,2700,,,,,
65964,이우석,1996-04-16,NC,2018,2700,,,,,
65964,이우석,1996-04-16,NC,2019,2700,,,,,
66064,김태오,1997-07-29,KT,2019,3300,,,,,
66305,박승주,1994-02-12,우리/히어로즈/넥센/키움,2017,2700,2017 신고선수 입단,,,,
66305,박승주,1994-02-12,우리/히어로즈/넥센/키움,2020,2700,,,,,
66309,김홍빈,1996-09-16,우리/히어로즈/넥센/키움,2017,2700,2017 신고선수 입단,,,,
66444,이케빈,1992-02-13,SK,2019,2700,,,,,
66492,김승현,1992-07-09,삼성,2019,5500,,,,,
66660,남재현,1996-09-13,KIA,2017,2800,,,,,
66663,서덕원,1993-07-12,KIA,2020,2800,,,,,
66741,김재영,1993-07-22,한화,2019,7100,,,,,
66858,정동윤,1997-10-22,SK,2018,2700,,,,,
67048,이정현,1997-12-05,KT,2019,기록없음,,,,,
67116,오석주,1998-04-14,LG,2019,2700,,,,,
67122,김태형,1998-09-17,LG,2018,2800,,,,,
67122,김태형,1998-09-17,LG,2018,2800,,,,,
67143,손주영,1998-12-02,LG,2018,3000,,,,,
67164,이찬혁,1998-08-19,LG,2020,2700,,,,,
67259,문대원,1998-08-22,두산,2020,2700,,,,,
67263,최원준,1994-12-21,두산,2018,2700,,,,,
67263,최원준,1994-12-21,두산,2019,2900,,,,,
67365,양기현,1998-12-16,우리/히어로즈/넥센/키움,2019,2700,,,,,
67365,양기현,1998-12-16,우리/히어로즈/넥센/키움,2020,2700,,,,,
67391,김재웅,1998-10-22,우리/히어로즈/넥센/키움,2020,2700,,,,,
67604,강이준,1998-04-07,KIA,2019,2700,,,,,
67640,유승철,1998-03-02,KIA,2019,6000,,,,,
67711,김기탁,1998-09-30,한화,2020,2700,,,,,
67762,김성훈,1998-02-04,한화,2019,3600,,,,,
67840,남윤성,1987-08-04,SK,2018,2800,,,,,
67962,소이현,1999-02-09,NC,2019,2700,,,,,
68403,김윤수,1999-12-08,삼성,2019,3700,,,,,
68501,최하늘,1999-03-26,롯데,2019,2700,,,,,
68529,이승헌,1998-12-19,롯데,2019,2700,,,,,
68556,정성종,1995-11-16,롯데,2019,3700,,,,,
68616,김승범,1998-12-07,KIA,2019,2700,,,,,
68830,김정우,1999-05-15,SK,2019,2700,,,,,
68900,김영규,2000-02-10,NC,2019,2700,,,,,
69104,남호,2000-07-20,LG,2020,2700,,,,,
69205,이교훈,2000-05-29,두산,2020,2700,,,,,
69328,박주성,2000-11-09,우리/히어로즈/넥센/키움,2020,2700,,,,,
69360,조영건,1999-02-04,우리/히어로즈/넥센/키움,2020,2700,,,,,
69399,윤정현,1993-05-17,우리/히어로즈/넥센/키움,2020,2700,,,,,
69703,오동욱,2001-02-04,한화,2020,2700,,,,,
69839,백승건,2000-10-29,SK,2020,3400,,,,,
70142,김광수,1981-05-05,KIA,2017,11000,,,,,
70356,이동학,1981-05-06,현대,2003,1700,,,,,
70425,배영수,1981-05-04,두산,2019,10000,,,,,
70434,이용훈,1977-07-14,SK,2002,4500,,,,,
70434,이용훈,1977-07-14,롯데,2003,4500,,,,,
70434,이용훈,1977-07-14,롯데,2004,3500,,,,,
70434,이용훈,1977-07-14,롯데,2005,3800,,,,,
70434,이용훈,1977-07-14,롯데,2008,4100,,,,,
70434,이용훈,1977-07-14,롯데,2009,6500,,,,,
70434,이용훈,1977-07-14,롯데,2010,7000,,,,,
70434,이용훈,1977-07-14,롯데,2011,5500,,,,,
70434,이용훈,1977-07-14,롯데,2012,4500,,,,,
70444,이명호,1981-02-10,롯데,2002,1700,,,,,
70839,신승현,1983-08-13,SK,2002,기록없음,개명 전 이름: 김명완,,,,
70839,신승현,1983-08-13,SK,2003,기록없음,개명 전 이름: 김명완,,,,
71118,이동현,1983-01-12,LG,2019,10000,,,,,
71255,김태영,1980-04-07,두산,2003,기록없음,개명 전 이름: 김상현,,,,
71255,김태영,1980-04-07,두산,2006,기록없음,개명 전 이름: 김상현,,,,
71255,김태영,1980-04-07,두산,2007,기록없음,개명 전 이름: 김상현,,,,
71255,김태영,1980-04-07,두산,2008,기록없음,개명 전 이름: 김상현,,,,
71255,김태영,1980-04-07,두산,2009,기록없음,개명 전 이름: 김상현,,,,
71255,김태영,1980-04-07,두산,2011,기록없음,개명 전 이름: 김상현,,,,
71255,김태영,1980-04-07,두산,2012,8000,개명 전 이름: 김상현,,,,
71255,김태영,1980-04-07,두산,2013,기록없음,개명 전 이름: 김상현,,,,
71343,여승현,1982-06-11,LG,2006,기록없음,,,,,
71347,장기영,1982-05-09,현대,2002,기록없음,"개명 전 이름: 장민석, 투수에서 타자로 전향",,,,
71347,장기영,1982-05-09,현대,2003,기록없음,"개명 전 이름: 장민석, 투수에서 타자로 전향",,,,
71641,이윤학,1982-02-25,KIA,2002,1700,,,,,
71845,채병용,1982-04-25,SK,2002,1700,,,,,
71845,채병용,1982-04-25,SK,2003,4000,,,,,
71845,채병용,1982-04-25,SK,2005,5700,,,,,
71845,채병용,1982-04-25,SK,2006,5700,,,,,
71845,채병용,1982-04-25,SK,2007,10000,,,,,
71845,채병용,1982-04-25,SK,2019,18000,,,,,
71851,김건한,1981-03-26,SK,2002,2300,개명 전 이름: 김희걸,,,,
71851,김건한,1981-03-26,SK,2003,2300,개명 전 이름: 김희걸,,,,
71851,김건한,1981-03-26,SK,2004,기록없음,개명 전 이름: 김희걸,,,,
71851,김건한,1981-03-26,KIA,2005,기록없음,개명 전 이름: 김희걸,,,,
71851,김건한,1981-03-26,KIA,2006,기록없음,개명 전 이름: 김희걸,,,,
71851,김건한,1981-03-26,KIA,2007,4800,개명 전 이름: 김희걸,,,,
71851,김건한,1981-03-26,KIA,2010,4800,개명 전 이름: 김희걸,,,,
71851,김건한,1981-03-26,KIA,2011,5500,개명 전 이름: 김희걸,,,,
71851,김건한,1981-03-26,삼성,2012,7000,개명 전 이름: 김희걸,,,,
71851,김건한,1981-03-26,삼성,2013,7000,개명 전 이름: 김희걸,,,,
71851,김건한,1981-03-26,삼성,2016,기록없음,개명 전 이름: 김희걸,,,,
71901,이준,1977-07-17,삼성,2003,1700,,,,,
72157,서승화,1979-07-13,LG,2002,2500,,,,,
72261,황덕균,1983-04-28,우리/히어로즈/넥센/키움,2017,3500,,,,,
72321,배힘찬,1983-12-08,KIA,2017,3300,,,,,
72333,이대환,1979-05-28,현대,2002,1700,,,,,
72333,이대환,1979-05-28,NC,2015,2700,,,,,
72351,조용준,1979-03-17,현대,2002,1700,,,,,
72454,권오원,1979-08-16,삼성,2002,1700,,,,,
72523,고효준,1983-02-08,롯데,2019,10000,,,,,
72523,고효준,1983-02-08,롯데,2020,10000,,,,,
72535,이명우,1982-06-03,롯데,2018,10500,,,,,
72562,변인재,1979-06-11,롯데,2002,1700,,,,,
72627,강철민,1979-07-22,KIA,2002,1700,,,,,
72643,문수호,1983-06-04,KIA,2004,기록없음,개명 전 이름: 문현정,,,,
72643,문수호,1983-06-04,KIA,2007,기록없음,개명 전 이름: 문현정,,,,
72643,문수호,1983-06-04,KIA,2008,기록없음,개명 전 이름: 문현정,,,,
72643,문수호,1983-06-04,KIA,2010,기록없음,개명 전 이름: 문현정,,,,
72643,문수호,1983-06-04,삼성,2011,기록없음,개명 전 이름: 문현정,,,,
72643,문수호,1983-06-04,NC,2013,3300,개명 전 이름: 문현정,,,,
72643,문수호,1983-06-04,NC,2015,3000,개명 전 이름: 문현정,,,,
72749,마정길,1979-03-13,한화,2002,1700,,,,,
72801,제춘모,1982-04-05,SK,2014,기록없음,,,,,
72918,손용수,1979-06-16,롯데,2004,1800,,,,,
73166,정재복,1981-02-13,LG,2003,1700,,,,,
73168,김진유,1979-07-01,LG,2003,4000,"제일동포/신인이지만 이전 팀 실업팀, 히로시마",,,,
73226,김성배,1981-01-12,두산,2017,15000,,,,,
73228,전병두,1984-10-14,SK,2016,5000,,,,,
73241,정재훈,1980-01-01,두산,2003,1700,,,,,
73241,정재훈,1980-01-01,두산,2016,15000,,,,,
73317,신동민,1980-03-14,현대,2003,1700,,,,,
73317,신동민,1980-03-14,현대,2004,기록없음,,,,,
73413,임동규,1979-06-03,삼성,2003,1700,,,,,
73565,김주용,1980-01-17,롯데,2003,1700,,,,,
73632,임준혁,1984-10-09,SK,2018,9500,,,,,
73657,조태수,1983-05-29,KIA,2003,1700,,,,,
73720,문용민,1980-12-06,한화,2003,1700,,,,,
74130,민경수,1981-05-19,LG,2004,1800,,,,,
74160,송현우,1981-09-16,LG,2004,1800,,,,,
74167,심수창,1981-02-09,LG,2004,1800,,,,,
74359,오주원,1985-03-31,현대,2005,5000,개명 전 이름: 오재영,,,,
74359,오주원,1985-03-31,현대,2006,4000,개명 전 이름: 오재영,,,,
74359,오주원,1985-03-31,우리/히어로즈/넥센/키움,2009,기록없음,개명 전 이름: 오재영,,,,
74359,오주원,1985-03-31,우리/히어로즈/넥센/키움,2010,기록없음,개명 전 이름: 오재영,,,,
74359,오주원,1985-03-31,우리/히어로즈/넥센/키움,2011,6500,개명 전 이름: 오재영,,,,
74359,오주원,1985-03-31,우리/히어로즈/넥센/키움,2012,9000,개명 전 이름: 오재영,,,,
74359,오주원,1985-03-31,우리/히어로즈/넥센/키움,2013,9000,개명 전 이름: 오재영,,,,
74359,오주원,1985-03-31,우리/히어로즈/넥센/키움,2014,9000,개명 전 이름: 오재영,,,,
74359,오주원,1985-03-31,우리/히어로즈/넥센/키움,2015,11000,개명 전 이름: 오재영,,,,
74363,박동욱,1985-04-06,LG,2010,2400,,,,,
74363,박동욱,1985-04-06,LG,2011,3800,,,,,
74363,박동욱,1985-04-06,롯데,2012,3800,,,,,
74454,윤성환,1981-10-08,삼성,2007,4000,,,,,
74543,최대성,1985-05-17,두산,2019,3500,,,,,
74556,허준혁,1985-12-15,롯데,2007,2100,,,,,
74630,박근홍,1985-08-22,KIA,2005,2000,개명 전 이름: 박정태,,,,
74630,박근홍,1985-08-22,KIA,2006,3500,,,,,
74630,박근홍,1985-08-22,KIA,2008,2700,,,,,
74630,박근홍,1985-08-22,KIA,2011,2700,,,,,
74630,박근홍,1985-08-22,삼성,2012,기록없음,,,,,
74630,박근홍,1985-08-22,롯데,2019,기록없음,은퇴,,,,
74726,조영민,1981-03-11,한화,2004,1800,,,,,
74726,조영민,1981-03-11,SK,2005,기록없음,,,,,
74748,정재원,1984-08-11,한화,2009,기록없음,,,,,
74761,윤경영,1980-08-12,한화,2004,기록없음,,,,,
74836,최혁길,1981-03-25,SK,2005,2000,,,,,
74858,지훈,1986-02-22,SK,2009,2400,,,,,
75149,홍성용,1986-11-18,KT,2018,6800,,,,,
75259,강관식,1981-04-12,두산,2005,2000,,,,,
75268,조현근,1985-11-21,삼성,2006,2000,,,,,
75268,조현근,1985-11-21,삼성,2016,4000,,,,,
75321,손승락,1982-03-04,현대,2005,2000,,,,,
75340,전유수,1986-11-29,현대,2007,2000,,,,,
75340,전유수,1986-11-29,우리/히어로즈/넥센/키움,2008,2000,,,,,
75340,전유수,1986-11-29,우리/히어로즈/넥센/키움,2009,2400,,,,,
75340,전유수,1986-11-29,SK,2012,2400,,,,,
75464,박성훈,1982-09-19,삼성,2005,2000,,,,,
75537,조정훈,1985-05-03,롯데,2018,6100,,,,,
75663,차정민,1982-11-23,KIA,2005,기록없음,,,,,
75750,양훈,1986-05-29,우리/히어로즈/넥센/키움,2017,9500,,,,,
75799,조성민,1973-04-05,한화,2005,5000,,,,,
75848,장찬,1985-06-12,SK,2005,기록없음,,,,,
75852,김선규,1986-04-20,SK,2009,2100,,,,,
75852,김선규,1986-04-20,LG,2010,2400,,,,,
75859,김태환,1985-03-30,SK,2006,기록없음,,,,,
76119,김기표,1983-04-25,KT,2015,3500,,,,,
76140,신창호,1987-03-18,KIA,2012,3000,,,,,
76169,김회권,1986-04-10,LG,2006,기록없음,,,,,
76225,김건국,1988-02-02,두산,2007,2000,,,,,
76262,원용묵,1986-06-25,두산,2006,2000,,,,,
76329,이현승,1983-10-11,현대,2006,2000,,,,,
76338,장태종,1983-03-08,현대,2006,2000,,,,,
76350,김세현,1987-08-07,현대,2007,2000,,,,,
76350,김세현,1987-08-07,우리/히어로즈/넥센/키움,2008,기록없음,,,,,
76350,김세현,1987-08-07,우리/히어로즈/넥센/키움,2009,기록없음,,,,,
76350,김세현,1987-08-07,우리/히어로즈/넥센/키움,2011,기록없음,,,,,
76350,김세현,1987-08-07,우리/히어로즈/넥센/키움,2012,기록없음,,,,,
76350,김세현,1987-08-07,우리/히어로즈/넥센/키움,2013,기록없음,,,,,
76355,장원삼,1983-06-09,현대,2006,2000,,,,,
76418,정홍준,1983-05-25,삼성,2006,2000,,,,,
76461,김기태,1987-05-11,삼성,2018,10100,,,,,
76650,진해수,1986-06-26,KIA,2006,2000,,,,,
76650,진해수,1986-06-26,KIA,2007,기록없음,,,,,
76650,진해수,1986-06-26,KIA,2008,기록없음,,,,,
76650,진해수,1986-06-26,KIA,2009,기록없음,,,,,
76715,류현진,1987-03-25,한화,2012,43000,,,,,
76749,임재청,1984-02-21,한화,2006,2000,,,,,
76822,이한진,1983-12-20,SK,2006,기록없음,,,,,
76822,이한진,1983-12-20,SK,2015,3000,,,,,
76858,박희수,1983-07-13,SK,2006,2000,,,,,
77253,이용호,1988-05-07,두산,2017,기록없음,,,,,
77257,이승학,1979-06-02,두산,2007,기록없음,,,,,
77318,장시환,1987-11-01,우리/히어로즈/넥센/키움,2008,기록없음,,,,,
77318,장시환,1987-11-01,우리/히어로즈/넥센/키움,2009,기록없음,,,,,
77318,장시환,1987-11-01,우리/히어로즈/넥센/키움,2011,기록없음,,,,,
77318,장시환,1987-11-01,우리/히어로즈/넥센/키움,2012,기록없음,,,,,
77318,장시환,1987-11-01,우리/히어로즈/넥센/키움,2013,기록없음,,,,,
77452,이동걸,1983-08-12,한화,2018,기록없음,은퇴,,,,
77517,김이슬,1984-06-15,롯데,2007,2000,,,,,
77746,정민혁,1983-09-14,한화,2007,2000,,,,,
77854,이창욱,1984-08-28,SK,2015,3200,,,,,
78149,노진용,1990-02-15,LG,2009,2000,,,,,
78232,김선우,1977-09-04,LG,2014,15000,,,,,
78257,진야곱,1989-04-11,두산,2016,기록없음,,,,,
78366,민태호,1989-09-12,NC,2014,기록없음,개명 전 이름: 민성기,,,,
78366,민태호,1989-09-12,NC,2015,기록없음,개명 전 이름: 민성기,,,,
78366,민태호,1989-09-12,NC,2016,3000,,,,,
78366,민태호,1989-09-12,NC,2019,3600,,,,,
78550,김수완,1989-07-20,롯데,2010,2000,,,,,
78550,김수완,1989-07-20,두산,2015,7000,,,,,
78552,강승현,1985-10-06,한화,2018,3700,,,,,
78640,서재응,1977-05-24,KIA,2015,7000,,,,,
78650,전태현,1989-06-20,KIA,2009,2000,개명 전 이름: 전우엽,,,,
78650,전태현,1989-06-20,KIA,2010,기록없음,개명 전 이름: 전우엽,,,,
78819,백청훈,1987-11-19,SK,2013,2600,개명 전 이름: 백인식,,,,
78819,백청훈,1987-11-19,SK,2014,6000,개명 전 이름: 백인식,,,,
78819,백청훈,1987-11-19,SK,2015,4200,개명 전 이름: 백인식,,,,
78819,백청훈,1987-11-19,SK,2017,3500,개명 전 이름: 백인식,,,,
78819,백청훈,1987-11-19,SK,2018,4000,개명 전 이름: 백인식,,,,
78819,백청훈,1987-11-19,SK,2019,3000,개명 전 이름: 백인식,,,,
78823,김준,1985-10-08,SK,2012,2400,,,,,
79137,최성민,1990-07-31,LG,2010,기록없음,,,,,
79235,조승수,1990-06-09,두산,2017,기록없음,,,,,
79293,오현택,1985-07-17,두산,2009,2000,,,,,
79339,전인환,1990-06-04,LG,2018,기록없음,,,,,
79349,고원준,1990-06-23,우리/히어로즈/넥센/키움,2010,2700,,,,,
79349,고원준,1990-06-23,두산,2017,6800,,,,,
79358,강윤구,1990-07-10,우리/히어로즈/넥센/키움,2010,3300,,,,,
79442,이우선,1983-04-19,삼성,2014,5000,,,,,
79746,허유강,1986-11-16,한화,2015,기록없음,,,,,
79760,박성호,1986-07-04,KIA,2010,2400,,,,,
79761,김주,1989-03-02,한화,2009,2000,,,,,
79764,장민재,1990-03-19,한화,2010,2400,,,,,
79764,장민재,1990-03-19,한화,2011,기록없음,,,,,
79817,박현준,1986-09-22,LG,2010,4300,,,,,
79847,김태훈,1990-05-19,SK,2010,2400,,,,,
93147,이상훈,1971-03-11,LG,2002,47000,,,,,
94126,신윤호,1975-05-15,SK,2014,기록없음,,,,,
94228,류택현,1971-10-23,LG,2002,기록없음,,,,,
94228,류택현,1971-10-23,LG,2003,기록없음,,,,,
94228,류택현,1971-10-23,LG,2004,7200,,,,,
94228,류택현,1971-10-23,LG,2005,7500,,,,,
94228,류택현,1971-10-23,LG,2014,10000,,,,,
95657,임창용,1976-06-04,KIA,2018,50000,,,,,
96251,박명환,1977-06-07,NC,2015,5000,,,,,
97336,최영필,1974-05-13,KIA,2017,14000,,,,,
97541,이정훈,1977-10-09,우리/히어로즈/넥센/키움,2016,4900,,,,,
97571,손민한,1975-01-02,NC,2015,12000,,,,,
98259,이혜천,1979-03-12,NC,2015,9000,,,,,
99314,송신영,1977-03-01,한화,2017,14000,,,,,
