선수명,생년월일,연도,연봉,WAR
장성호,1977-10-18,2013,"18,000",0.708
장성호,1977-10-18,2014,"14,000",0.021
장성호,1977-10-18,2015,"900,000",0.333
장일현,1976-05-12,1999,,-0.162
장일현,1976-05-12,2000,"2,500",0.231
장일현,1976-05-12,2001,"3,500",0.538
장일현,1976-05-12,2002,"4,200",0.472
장일현,1976-05-12,2005,"4,200",-0.147
장정석,1973-04-12,1996,,-0.276
장정석,1973-04-12,1997,"2,800",-0.493
장정석,1973-04-12,1998,"2,800",-0.196
장정석,1973-04-12,1999,"3,800",-0.041
장정석,1973-04-12,2000,"3,200",0.079
장정석,1973-04-12,2001,"3,200",0.122
장정석,1973-04-12,2002,"3,200",-0.078
장정석,1973-04-12,2003,"3,800",-0.297
정성훈,1980-06-27,1999,,1.555
정성훈,1980-06-27,2000,"4,000",-1.227
정성훈,1980-06-27,2001,"4,700",0.643
정성훈,1980-06-27,2002,"5,000",3.630
정성훈,1980-06-27,2003,"7,500",3.851
정성훈,1980-06-27,2004,"12,300",2.305
정성훈,1980-06-27,2005,"15,000",3.418
정성훈,1980-06-27,2006,"18,000",4.200
정성훈,1980-06-27,2007,"22,000",4.148
정성훈,1980-06-27,2008,"32,000",2.141
정성훈,1980-06-27,2009,"35,000",3.387
정성훈,1980-06-27,2010,"4,000",1.552
정성훈,1980-06-27,2011,"35,000",3.506
정성훈,1980-06-27,2012,"35,000",5.501
정성훈,1980-06-27,2013,"50,000",4.657
정성훈,1980-06-27,2014,"50,000",4.017
정성훈,1980-06-27,2015,"50,000",1.470
정성훈,1980-06-27,2016,"50,000",1.131
정성훈,1980-06-27,2017,"30,000",1.258
정성훈,1980-06-27,2018,"900,000",0.718
조민철,1979-06-08,2002,,0.020
조민철,1979-06-08,2003,"2,100",-0.114
홍세완,1978-01-16,2000,,0.476
홍세완,1978-01-16,2001,"2,400",3.487
홍세완,1978-01-16,2002,"5,000",2.007
홍세완,1978-01-16,2003,"7,000",4.430
홍세완,1978-01-16,2004,"12,000",4.280
홍세완,1978-01-16,2005,"9,600",2.666
홍세완,1978-01-16,2006,"9,600",0.048
홍세완,1978-01-16,2007,"8,800",1.391
홍세완,1978-01-16,2009,"6,000",0.056
홍세완,1978-01-16,2010,"8,800",-0.179
황성기,1977-06-09,1996,,-0.152
황성기,1977-06-09,1998,,-0.171
황성기,1977-06-09,1999,"1,600",0.064
황성기,1977-06-09,2001,"1,800",0.140
황성기,1977-06-09,2002,"2,200",0.014
권용관,1976-11-19,1996,,-0.378
권용관,1976-11-19,1997,"2,000",-0.105
권용관,1976-11-19,2000,"2,000",0.000
권용관,1976-11-19,2001,"2,000",0.623
권용관,1976-11-19,2002,"3,200",-0.323
권용관,1976-11-19,2003,"6,500",-0.860
권용관,1976-11-19,2004,"6,000",0.890
권용관,1976-11-19,2005,"7,000",0.817
권용관,1976-11-19,2006,"7,000",0.448
권용관,1976-11-19,2007,"6,500",1.002
권용관,1976-11-19,2008,"8,600",-0.342
권용관,1976-11-19,2009,"7,800",0.704
권용관,1976-11-19,2010,"7,800",-0.031
권용관,1976-11-19,2011,"7,600",0.073
권용관,1976-11-19,2012,"6,600",-0.025
권용관,1976-11-19,2013,"5,500",0.564
권용관,1976-11-19,2014,"8,000",-0.256
권용관,1976-11-19,2015,"8,000",-2.239
권용관,1976-11-19,2016,"900,000",-0.064
김상현,1980-11-12,2001,"1,800",-0.144
김상현,1980-11-12,2002,"1,800",0.573
김상현,1980-11-12,2003,"2,300",1.562
김상현,1980-11-12,2004,"3,500",1.280
김상현,1980-11-12,2007,"4,000",1.661
김상현,1980-11-12,2008,"6,000",1.069
김상현,1980-11-12,2009,"6,000",5.873
김상현,1980-11-12,2010,"24,000",1.741
김상현,1980-11-12,2011,"20,000",2.083
김상현,1980-11-12,2012,"20,000",0.610
김상현,1980-11-12,2013,"20,000",0.376
김상현,1980-11-12,2014,"16,000",0.181
김상현,1980-11-12,2015,"20,000",1.217
김상현,1980-11-12,2016,"900,000",-0.361
김용우,1979-09-12,2002,,-0.047
김용우,1979-09-12,2003,"2,200",0.281
김용우,1979-09-12,2004,"2,800",-0.048
김용우,1979-09-12,2007,"2,200",0.341
김용우,1979-09-12,2008,"3,300",-0.026
김용우,1979-09-12,2009,"3,100",0.092
김우석,1975-09-02,2002,,-0.167
김우석,1975-09-02,2003,"2,700",-0.024
김우석,1975-09-02,2004,"2,700",-0.165
김우석,1975-09-02,2005,"3,000",-0.184
김우석,1975-09-02,2006,"3,200",-0.173
김우석,1975-09-02,2007,"3,200",0.000
김우석,1975-09-02,2008,"3,200",0.161
김재학,1978-02-18,2001,,0.000
김재학,1978-02-18,2002,"2,100",-0.110
김재학,1978-02-18,2003,"2,300",-0.024
김재학,1978-02-18,2004,"2,400",-0.141
김재현,1975-10-02,1994,,5.969
김재현,1975-10-02,1995,,3.206
김재현,1975-10-02,1996,,3.287
김재현,1975-10-02,1998,"6,000",4.229
김재현,1975-10-02,1999,"10,000",2.927
김재현,1975-10-02,2000,"12,000",4.256
김재현,1975-10-02,2001,"18,000",4.525
김재현,1975-10-02,2002,"18,000",5.031
김재현,1975-10-02,2003,"18,000",1.322
김재현,1975-10-02,2004,"18,000",4.130
김재현,1975-10-02,2005,"23,000",4.681
김재현,1975-10-02,2006,"23,000",3.362
김재현,1975-10-02,2007,"25,000",-0.040
김재현,1975-10-02,2008,"30,000",3.228
김재현,1975-10-02,2009,"50,000",2.512
김재현,1975-10-02,2010,"50,000",1.793
김정민,1970-03-15,1993,,0.245
김정민,1970-03-15,1994,,1.072
김정민,1970-03-15,1995,,-0.141
김정민,1970-03-15,1996,,0.783
김정민,1970-03-15,1997,"3,300",-0.058
김정민,1970-03-15,1998,"3,300",0.007
김정민,1970-03-15,1999,"3,500",0.063
김정민,1970-03-15,2000,"4,500",0.389
김정민,1970-03-15,2001,"6,800",0.169
김정민,1970-03-15,2002,"6,600",0.005
김정민,1970-03-15,2003,"6,300",0.071
김정민,1970-03-15,2004,"6,300",0.067
김정민,1970-03-15,2005,"6,500",1.001
김정민,1970-03-15,2006,"8,100",-0.304
김정민,1970-03-15,2008,"8,000",1.255
김정민,1970-03-15,2009,"8,500",0.390
김현민,1973-09-15,1996,,0.144
김현민,1973-09-15,1997,"2,400",-0.015
김현민,1973-09-15,1998,"2,400",0.071
김현민,1973-09-15,1999,"2,200",-0.305
김현민,1973-09-15,2001,"2,200",-0.041
김현민,1973-09-15,2002,"2,100",-0.063
박연수,1974-01-14,1999,"2,200",-0.261
박연수,1974-01-14,2000,"2,500",0.853
박연수,1974-01-14,2001,"3,200",1.235
박연수,1974-01-14,2002,"4,000",0.097
박연수,1974-01-14,2003,"4,000",0.486
박연수,1974-01-14,2004,"5,000",0.565
박연수,1974-01-14,2005,"4,700",0.844
박연수,1974-01-14,2006,"5,400",0.248
박연수,1974-01-14,2007,"4,000",-0.117
박연수,1974-01-14,2008,"3,500",-0.113
박용택,1979-04-21,2002,,3.204
박용택,1979-04-21,2003,"5,000",1.750
박용택,1979-04-21,2004,"7,000",2.775
박용택,1979-04-21,2005,"9,000",3.548
박용택,1979-04-21,2006,"15,000",5.065
박용택,1979-04-21,2007,"16,000",3.230
박용택,1979-04-21,2008,"18,000",0.757
박용택,1979-04-21,2009,"15,000",5.794
박용택,1979-04-21,2010,"31,000",1.790
박용택,1979-04-21,2011,"35,000",2.351
박용택,1979-04-21,2012,"35,000",5.863
박용택,1979-04-21,2013,"35,000",4.952
박용택,1979-04-21,2014,"35,000",4.214
박용택,1979-04-21,2015,"80,000",2.235
박용택,1979-04-21,2016,"80,000",3.195
박용택,1979-04-21,2017,"80,000",3.699
박용택,1979-04-21,2018,"80,000",1.518
박용택,1979-04-21,2019,"80,000",0.420
박용택,1979-04-21,2020,"80,000",0.386
서용빈,1971-01-02,1994,,3.851
서용빈,1971-01-02,1995,,2.933
서용빈,1971-01-02,1996,,0.358
서용빈,1971-01-02,1997,"5,500",2.738
서용빈,1971-01-02,2000,"6,300",0.501
서용빈,1971-01-02,2001,"7,000",0.571
서용빈,1971-01-02,2002,"7,500",0.732
서용빈,1971-01-02,2005,"9,000",-0.475
서용빈,1971-01-02,2006,"8,500",-0.399
손지환,1978-11-13,1997,"2,000",0.177
손지환,1978-11-13,1998,"2,200",0.149
손지환,1978-11-13,1999,"2,700",-0.540
손지환,1978-11-13,2000,"2,500",-0.074
손지환,1978-11-13,2001,"3,100",0.255
손지환,1978-11-13,2002,"3,700",-0.190
손지환,1978-11-13,2003,"5,700",-0.395
손지환,1978-11-13,2004,"5,400",1.904
손지환,1978-11-13,2005,"7,000",2.126
손지환,1978-11-13,2006,"8,500",0.632
손지환,1978-11-13,2007,"8,500",0.277
손지환,1978-11-13,2008,"7,225",-0.187
손지환,1978-11-13,2009,"4,000",-0.067
손지환,1978-11-13,2010,"4,000",-0.075
심성보,1973-02-16,1995,,0.391
심성보,1973-02-16,1996,,2.561
심성보,1973-02-16,1997,"5,000",2.235
심성보,1973-02-16,1998,"5,700",3.373
심성보,1973-02-16,1999,"5,700",0.321
심성보,1973-02-16,2000,"7,100",-0.338
심성보,1973-02-16,2001,"4,000",0.101
심성보,1973-02-16,2002,"4,700",0.019
심성보,1973-02-16,2003,"4,700",-0.157
안상준,1973-02-13,1995,,-0.081
안상준,1973-02-13,1996,,0.065
안상준,1973-02-13,1997,"2,200",-0.149
안상준,1973-02-13,1998,"2,200",-0.243
안상준,1973-02-13,1999,"2,800",0.995
안상준,1973-02-13,2000,"4,800",0.397
안상준,1973-02-13,2001,"4,800",-0.429
안상준,1973-02-13,2002,"4,300",0.118
안상준,1973-02-13,2003,"4,200",0.238
안상준,1973-02-13,2004,"5,200",-0.158
안상준,1973-02-13,2005,"4,500",-0.135
안상준,1973-02-13,2006,"4,200",0.005
안상준,1973-02-13,2007,"4,200",-0.306
안치용,1979-02-23,2002,,-0.047
안치용,1979-02-23,2003,"2,000",-0.381
안치용,1979-02-23,2004,"2,000",-0.128
안치용,1979-02-23,2005,"2,700",-0.104
안치용,1979-02-23,2006,"2,800",-0.352
안치용,1979-02-23,2007,"2,800",0.011
안치용,1979-02-23,2008,"3,000",2.602
안치용,1979-02-23,2009,"6,600",-0.142
안치용,1979-02-23,2010,"6,600",0.372
안치용,1979-02-23,2011,"5,500",3.075
안치용,1979-02-23,2012,"8,500",1.063
안치용,1979-02-23,2013,"7,500",0.034
유지현,1971-05-25,1994,,7.349
유지현,1971-05-25,1995,,3.608
유지현,1971-05-25,1996,,3.737
유지현,1971-05-25,1997,"5,700",4.352
유지현,1971-05-25,1998,"7,000",6.078
유지현,1971-05-25,1999,"9,500",3.809
유지현,1971-05-25,2000,"12,000",3.715
유지현,1971-05-25,2001,"20,000",4.620
유지현,1971-05-25,2002,"22,000",2.491
유지현,1971-05-25,2003,"23,000",0.141
유지현,1971-05-25,2004,"23,000",-0.255
윤현식,1977-04-03,2000,,-0.348
윤현식,1977-04-03,2001,"2,300",-0.162
윤현식,1977-04-03,2002,"2,500",-0.235
윤현식,1977-04-03,2003,"2,700",-0.043
윤현식,1977-04-03,2004,"2,000",-0.070
이병규,1974-10-25,1997,"2,000",5.599
이병규,1974-10-25,1998,"3,800",3.483
이병규,1974-10-25,1999,"6,000",8.066
이병규,1974-10-25,2000,"12,000",5.165
이병규,1974-10-25,2001,"20,000",4.549
이병규,1974-10-25,2002,"20,000",3.427
이병규,1974-10-25,2003,"25,000",1.271
이병규,1974-10-25,2004,"22,000",5.722
이병규,1974-10-25,2005,"30,000",4.943
이병규,1974-10-25,2006,"50,000",3.830
이병규,1974-10-25,2010,"40,000",1.160
이병규,1974-10-25,2011,"40,000",4.364
이병규,1974-10-25,2012,"60,000",1.892
이병규,1974-10-25,2013,"60,000",2.923
이병규,1974-10-25,2014,"80,000",-0.579
이병규,1974-10-25,2015,"80,000",-0.434
이병규,1974-10-25,2016,"900,000",0.050
이일의,1971-11-30,2002,"4,000",0.064
이일의,1971-11-30,2003,"4,500",-0.048
이종열,1973-01-28,1991,,-0.053
이종열,1973-01-28,1992,,-0.039
이종열,1973-01-28,1993,,0.946
이종열,1973-01-28,1994,,-0.411
이종열,1973-01-28,1995,,0.480
이종열,1973-01-28,1996,,0.147
이종열,1973-01-28,1998,"4,200",-0.200
이종열,1973-01-28,1999,"5,700",4.020
이종열,1973-01-28,2000,"8,000",1.059
이종열,1973-01-28,2001,"10,000",-0.235
이종열,1973-01-28,2002,"9,000",1.937
이종열,1973-01-28,2003,"15,000",0.452
이종열,1973-01-28,2004,"15,000",0.613
이종열,1973-01-28,2005,"15,000",1.008
이종열,1973-01-28,2006,"15,000",0.742
이종열,1973-01-28,2007,"17,000",2.324
이종열,1973-01-28,2008,"17,000",-0.008
이종열,1973-01-28,2009,"17,000",-0.135
장재중,1971-05-19,1994,,-0.139
장재중,1971-05-19,1995,,0.095
장재중,1971-05-19,1996,,-0.076
장재중,1971-05-19,1997,"2,000",0.387
장재중,1971-05-19,1998,"2,000",0.447
장재중,1971-05-19,1999,"2,600",-0.294
장재중,1971-05-19,2000,"4,000",0.314
장재중,1971-05-19,2001,"4,000",-0.553
장재중,1971-05-19,2002,"4,900",0.290
장재중,1971-05-19,2003,"5,500",-0.223
조인성,1975-05-25,1998,,0.522
조인성,1975-05-25,1999,"3,000",0.334
조인성,1975-05-25,2000,"4,000",0.221
조인성,1975-05-25,2001,"5,700",0.663
조인성,1975-05-25,2002,"5,500",2.166
조인성,1975-05-25,2003,"10,000",2.580
조인성,1975-05-25,2004,"15,000",1.855
조인성,1975-05-25,2005,"14,000",0.698
조인성,1975-05-25,2006,"13,000",2.151
조인성,1975-05-25,2007,"25,000",3.676
조인성,1975-05-25,2008,"40,000",1.173
조인성,1975-05-25,2009,"40,000",0.889
조인성,1975-05-25,2010,"40,000",5.961
조인성,1975-05-25,2011,"50,000",3.719
조인성,1975-05-25,2012,"40,000",2.238
조인성,1975-05-25,2013,"40,000",0.177
조인성,1975-05-25,2014,"40,000",0.356
조인성,1975-05-25,2015,"40,000",0.241
조인성,1975-05-25,2016,"40,000",-1.508
조인성,1975-05-25,2017,"900,000",-0.442
최동수,1971-09-11,1994,,0.003
최동수,1971-09-11,1996,,-0.154
최동수,1971-09-11,1997,"2,000",0.543
최동수,1971-09-11,1998,"3,000",-0.681
최동수,1971-09-11,1999,"3,000",-0.148
최동수,1971-09-11,2000,"2,800",0.117
최동수,1971-09-11,2001,"3,100",0.694
최동수,1971-09-11,2002,"4,000",-0.235
최동수,1971-09-11,2003,"7,300",-0.017
최동수,1971-09-11,2004,"7,000",0.532
최동수,1971-09-11,2005,"8,000",1.580
최동수,1971-09-11,2006,"9,000",-0.572
최동수,1971-09-11,2007,"7,500",3.086
최동수,1971-09-11,2008,"12,000",1.118
최동수,1971-09-11,2009,"15,000",1.335
최동수,1971-09-11,2010,"15,000",-0.528
최동수,1971-09-11,2011,"15,000",0.324
최동수,1971-09-11,2012,"15,000",0.457
최동수,1971-09-11,2013,"15,000",-0.051
최만호,1974-03-04,1997,"2,000",0.038
최만호,1974-03-04,1998,"2,200",-0.058
최만호,1974-03-04,1999,"2,200",0.068
최만호,1974-03-04,2000,"2,200",-0.033
최만호,1974-03-04,2001,"2,200",-0.114
최만호,1974-03-04,2002,"2,600",0.502
최만호,1974-03-04,2003,"4,400",-0.518
최만호,1974-03-04,2004,"5,000",0.319
최만호,1974-03-04,2006,"5,500",0.401
최만호,1974-03-04,2007,"5,500",-0.154
최만호,1974-03-04,2008,"5,200",-0.479
최만호,1974-03-04,2009,"4,500",0.045
추승우,1979-09-24,2002,,-0.077
추승우,1979-09-24,2003,"2,200",-0.097
추승우,1979-09-24,2006,"2,200",0.015
추승우,1979-09-24,2007,"2,500",-0.023
추승우,1979-09-24,2008,"2,500",0.410
추승우,1979-09-24,2009,"5,000",0.565
추승우,1979-09-24,2010,"4,500",0.627
추승우,1979-09-24,2011,"4,600",-0.276
추승우,1979-09-24,2012,"4,200",0.074
추승우,1979-09-24,2013,"4,500",1.122
추승우,1979-09-24,2014,"6,000",0.077
홍현우,1972-09-28,1990,,-0.234
홍현우,1972-09-28,1991,,2.631
홍현우,1972-09-28,1992,,6.852
홍현우,1972-09-28,1993,,4.601
홍현우,1972-09-28,1994,,4.416
홍현우,1972-09-28,1995,,6.533
홍현우,1972-09-28,1996,,8.751
홍현우,1972-09-28,1997,"9,600",5.778
홍현우,1972-09-28,1998,"10,200",4.407
홍현우,1972-09-28,1999,"10,000",5.914
홍현우,1972-09-28,2000,"14,000",2.523
홍현우,1972-09-28,2001,"20,000",-0.082
홍현우,1972-09-28,2002,"20,000",-0.672
홍현우,1972-09-28,2003,"20,000",1.468
홍현우,1972-09-28,2004,"20,000",-0.365
홍현우,1972-09-28,2005,"7,000",-0.049
강성우,1970-01-05,1992,,1.683
강성우,1970-01-05,1993,,-0.174
강성우,1970-01-05,1994,,1.229
강성우,1970-01-05,1995,,0.217
강성우,1970-01-05,1996,,0.658
강성우,1970-01-05,1997,"4,790",-1.380
강성우,1970-01-05,1998,"4,500",-0.774
강성우,1970-01-05,1999,"4,000",0.307
강성우,1970-01-05,2000,"5,300",-0.391
강성우,1970-01-05,2001,"5,300",-1.256
강성우,1970-01-05,2002,"5,300",-0.461
강성우,1970-01-05,2003,"5,000",0.080
강성우,1970-01-05,2004,"5,200",-0.109
강성우,1970-01-05,2005,"5,200",0.091
강혁,1974-08-25,1999,"2,000",-0.131
강혁,1974-08-25,2000,"2,000",0.175
강혁,1974-08-25,2001,"3,800",0.184
강혁,1974-08-25,2002,"4,200",-0.555
강혁,1974-08-25,2003,"3,800",0.443
강혁,1974-08-25,2004,"6,000",-0.814
강혁,1974-08-25,2007,"5,700",-0.049
김기태,1969-05-23,1991,,3.754
김기태,1969-05-23,1992,,6.630
김기태,1969-05-23,1993,,2.780
김기태,1969-05-23,1994,,6.073
김기태,1969-05-23,1995,,5.016
김기태,1969-05-23,1996,,2.997
김기태,1969-05-23,1997,"10,100",7.304
김기태,1969-05-23,1998,"10,100",7.285
김기태,1969-05-23,1999,"13,000",3.829
김기태,1969-05-23,2000,"15,000",3.855
김기태,1969-05-23,2001,"20,000",-0.346
